HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"002.506",CFGLOC101775,"Central Plains Soil Temp Profile SP2, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.27,2.50,-0.65,2.00,0.00,300.00,40.815892,-104.746013,1654.01,-1.58,1.96,45.00,315.00
"002.507",CFGLOC101777,"Central Plains Soil Temp Profile SP2, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-1.05,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
"002.507",CFGLOC101777,"Central Plains Soil Temp Profile SP2, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.27,2.50,-1.05,2.00,0.00,300.00,40.815892,-104.746013,1654.01,-1.58,1.96,45.00,315.00
"002.508",CFGLOC101779,"Central Plains Soil Temp Profile SP2, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-1.55,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
"002.508",CFGLOC101779,"Central Plains Soil Temp Profile SP2, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.27,2.50,-1.55,2.00,0.00,300.00,40.815892,-104.746013,1654.01,-1.58,1.96,45.00,315.00
"003.501",CFGLOC101790,"Central Plains Soil Water Content Profile SP3","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.17,3.00,0.00,2.00,0.00,155.00,,,,0.17,3.00,0.00,0.00
"003.501",CFGLOC101790,"Central Plains Soil Water Content Profile SP3","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.17,3.00,0.00,2.00,0.00,155.00,40.816180,-104.746390,1653.88,-2.00,2.24,45.00,315.00
"003.502",CFGLOC101794,"Central Plains Soil Temp Profile SP3, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.11,2.50,-0.06,1.00,0.00,45.00,,,,0.11,2.50,0.00,0.00
"003.502",CFGLOC101794,"Central Plains Soil Temp Profile SP3, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.11,2.50,-0.06,1.00,0.00,45.00,40.816180,-104.746390,1653.88,-1.69,1.85,45.00,315.00
"003.503",CFGLOC101796,"Central Plains Soil Temp Profile SP3, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.11,2.50,-0.16,1.00,0.00,45.00,,,,0.11,2.50,0.00,0.00
"003.503",CFGLOC101796,"Central Plains Soil Temp Profile SP3, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.11,2.50,-0.16,1.00,0.00,45.00,40.816180,-104.746390,1653.88,-1.69,1.85,45.00,315.00
"003.504",CFGLOC101798,"Central Plains Soil Temp Profile SP3, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.11,2.50,-0.26,1.00,0.00,45.00,,,,0.11,2.50,0.00,0.00
"003.504",CFGLOC101798,"Central Plains Soil Temp Profile SP3, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.11,2.50,-0.26,1.00,0.00,45.00,40.816180,-104.746390,1653.88,-1.69,1.85,45.00,315.00
"003.505",CFGLOC101800,"Central Plains Soil Temp Profile SP3, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.11,2.50,-0.46,1.00,0.00,45.00,,,,0.11,2.50,0.00,0.00
